ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At
223,Handling Exceptions,Exception Handling Advantages,Which is an advantage of the Java exception mechanism?,Provides a set of standard exceptions that covers all possible errors.,Allows the creation of new exceptions customized to the particular program.,Improves program structure by separating error handling code from normal program flow.,Improves program structure because exceptions must be handled in the method in which they occur.,All of the above.,C,"The main advantage is separating error-handling logic from normal business logic, leading to cleaner and more readable code.",2025-06-08 01:29:03
224,Working with Java API - String,StringBuilder vs String,Which statement is true about String and StringBuilder in Java?,String is mutable StringBuilder is immutable.,Both String and StringBuilder are mutable.,String objects are stored on the heap StringBuilder objects are stored in the String pool.,StringBuilder is more efficient for frequent string modifications than String.,String is thread-safe StringBuilder is not.,D,StringBuilder is mutable and more efficient for frequent modifications. String is immutable and creates new objects for each modification.,2025-06-08 01:29:03
225,Java Basics,Package Declaration,Which statement about package declarations is true?,A Java source file can have multiple package declarations.,The package declaration must be the first statement in a Java source file.,If a package is not declared the class belongs to the java.lang package.,If a package is not declared the class belongs to the default package.,Package names must start with a capital letter.,D,"A source file can have at most one package declaration. If no package is declared, the class belongs to the default package.",2025-06-08 01:29:03
226,Working With Java Data Types,Primitive Type Sizes,Which primitive data type has a size of 4 bytes?,byte,short,int,long,char,C,"byte=1 byte, short=2 bytes, int=4 bytes, long=8 bytes, char=2 bytes.",2025-06-08 01:29:03
227,Using Loop Constructs,Loop Control,What will be the output of this code? int i = 0; while (i < 10) { i++; if (i % 2 == 0) continue; System.out.print(i); },13579,02468,123456789,246810,Compilation error,A,"The loop increments i first, then checks if even (continue skips print for even numbers). Only odd values are printed: 1,3,5,7,9.",2025-06-08 01:29:03
228,Working with Inheritance,Covariant Return Types,What can be substituted for XXX and YYY? class A { public XXX m1(int a) { return a * 10 / 4 - 30; } } class A2 extends A { public YYY m1(int a) { return a * 10 / 4.0; } },int int,int double,double double,double int,Nothing they are not compatible.,C,"For overriding, return types must be same or covariant. double can accommodate int results, and double can be returned as double.",2025-06-08 01:29:03
229,Handling Exceptions,Method Signature and Throws,Which method declaration is valid?,public void method() throws Exception { throw new IOException(); },public void method() { throw new IOException(); },public void method() throws IOException { throw new Exception(); },public void method() throws RuntimeException { throw new IOException(); },public void method() { throw new RuntimeException(); },E,Unchecked exceptions (RuntimeException) don't require declaration in throws clause. Option E is valid.,2025-06-08 01:29:03
230,Java Basics,Import Statements,Which statement about import statements is true?,They must appear before the package declaration.,They are optional if using fully qualified names.,They can import multiple specific classes with a single statement using a wildcard.,They can import specific methods from a class.,All of the above.,B,Import statements are optional if you use fully qualified names. They must appear after package declaration and cannot import specific methods (only classes or static members).,2025-06-08 01:29:03
231,Using Operators and Decision Constructs,Comparison Operators,What is the output of this code? System.out.println(10 > 5 && 20 < 30); System.out.println(10 == 10 || 5 != 5);,true true,true false,false true,false false,Compilation error,A,"First: 10>5 is true, 20<30 is true, true&&true=true. Second: 10==10 is true, 5!=5 is false, true||false=true.",2025-06-08 01:29:03
232,Working with Methods and Encapsulation,Static Method Call,Which is a valid way to call the static method printMessage() from outside its class Utils?,Utils.printMessage();,new Utils().printMessage();,printMessage(); (if in same package),Both A and B are valid.,Only A is valid.,A,"Static methods should be called using the class name. While option B might work, it's bad practice as it implies instance method usage.",2025-06-08 01:29:03
233,Working with Inheritance,Instanceof Operator,What is the output of this code? class Animal {} class Dog extends Animal {} public class Test { public static void main(String args) { Animal a = new Dog(); System.out.println(a instanceof Animal); System.out.println(a instanceof Dog); } },true true,true false,false true,false false,Compilation error,A,"a refers to a Dog object. Since Dog is an Animal (inheritance), both instanceof checks return true.",2025-06-08 01:29:03
234,Working with Java API - Time and Date,Period and Duration,Which statement about Period and Duration is true?,Period represents a time-based amount Duration represents a date-based amount.,Both Period and Duration are immutable.,Period is used for hours minutes seconds; Duration for years months days.,Period can be negative Duration cannot.,Period and Duration can be added to LocalDateTime interchangeably.,B,"Both Period and Duration are immutable. Period is for date-based amounts (years, months, days), Duration is for time-based amounts.",2025-06-08 01:29:03
235,Working with Java API - ArrayList,ArrayList Capacity,What is the initial capacity of an ArrayList created with no arguments?,0,5,10,16,Compilation error,C,ArrayList's default constructor creates an array with initial capacity of 10.,2025-06-08 01:29:03
236,Java Basics,Main Method Arguments,What will be the output when running: java MyClass Hello World? public class MyClass { public static void main(String[] args) { System.out.println(args[0] + args[1]); } },HelloWorld,Hello World,Hello,Compilation error,Runtime error (ArrayIndexOutOfBoundsException),A,"Command line arguments are stored in args array. args[0]=""Hello"", args[1]=""World"". String concatenation produces ""HelloWorld"".",2025-06-08 01:29:03
237,Working with Inheritance,Superclass Constructor Call,Which statement is true regarding super() and this() in Java constructors?,super() and this() can be called anywhere in a constructor.,super() must be the first statement in a constructor if present.,this() must be the first statement in a constructor if present.,A constructor can call both super() and this().,super() and this() can only be called in static methods.,C,"Both super() and this() must be the first statement if present. A constructor can call either super() or this(), but not both.",2025-06-08 01:29:03
238,Handling Exceptions,Custom Exceptions,Which is true about creating a custom checked exception in Java?,It must extend RuntimeException.,It must extend Error.,It must extend Throwable directly.,It must extend Exception or a subclass of Exception (but not RuntimeException).,It must extend IOException.,D,"Custom checked exceptions must extend Exception or its subclasses, excluding RuntimeException and its subclasses (which are unchecked).",2025-06-08 01:29:03
239,Java Basics,Class Definition,Which is a valid Java class definition?,class MyClass { public MyClass() {} },public class MyClass { public static void main(String[] args) {} },class MyClass extends AnotherClass {},interface MyInterface { void method(); },All of the above are valid class or interface definitions.,E,All options show valid ways to define classes or interfaces in Java.,2025-06-08 01:29:03
240,Working With Java Data Types,Object References,What is the output of this code? Object obj1 = new Object(); Object obj2 = obj1; obj1 = null; System.out.println(obj2);,null,java.lang.Object@... (memory address),Compilation error,Runtime error,undefined,B,"obj2 refers to the same Object instance as obj1 initially did. Setting obj1 to null doesn't affect obj2, which still refers to the original Object instance.",2025-06-08 01:29:03
